"Season","Team","Conference","StatName","StatValue"
"2023","Nevada","Mountain West","passCompletions","191"
"2023","Arkansas","SEC","kickReturnYards","475"
"2023","Buffalo","Mid-American","rushingTDs","15"
"2023","UCF","Big 12","passAttempts","366"
"2023","Indiana","Big Ten","thirdDownConversions","62"
"2023","Tennessee","SEC","passingTDs","22"
"2023","Northern Illinois","Mid-American","sacks","23"
"2023","Washington State","Pac-12","rushingYards","1011"
"2023","SMU","American Athletic","rushingYards","2472"
"2023","Jacksonville State","Conference USA","puntReturnYards","104"
"2023","Texas State","Sun Belt","puntReturns","13"
"2023","North Carolina","ACC","interceptions","11"
"2023","UCLA","Pac-12","fourthDownConversions","15"
"2023","Florida","SEC","games","12"
"2023","Wisconsin","Big Ten","possessionTime","22837"
"2023","Wyoming","Mountain West","tacklesForLoss","51"
"2023","Michigan","Big Ten","sacks","38"
"2023","NC State","ACC","interceptionTDs","2"
"2023","Arkansas","SEC","rushingAttempts","472"
"2023","Western Michigan","Mid-American","possessionTime","21550"
"2023","Northern Illinois","Mid-American","firstDowns","243"
"2023","Jacksonville State","Conference USA","penalties","63"
"2023","South Florida","American Athletic","penalties","97"
"2023","Wisconsin","Big Ten","fumblesRecovered","4"
"2023","UCF","Big 12","firstDowns","300"
"2023","Kansas State","Big 12","possessionTime","24870"
"2023","UTEP","Conference USA","interceptionYards","86"
"2023","Miami (OH)","Mid-American","penaltyYards","547"
"2023","Wake Forest","ACC","fumblesRecovered","8"
"2023","Georgia","SEC","passAttempts","456"
"2023","Ohio State","Big Ten","thirdDownConversions","72"
"2023","Louisiana","Sun Belt","fourthDownConversions","11"
"2023","Louisville","ACC","netPassingYards","3313"
"2023","Coastal Carolina","Sun Belt","puntReturnTDs","0"
"2023","Auburn","SEC","passCompletions","189"
"2023","Tennessee","SEC","kickReturnYards","293"
"2023","Oklahoma State","Big 12","puntReturns","12"
"2023","Clemson","ACC","fumblesRecovered","11"
"2023","Stanford","Pac-12","rushingAttempts","414"
"2023","Oklahoma","Big 12","tacklesForLoss","94"
"2023","Georgia Tech","ACC","firstDowns","289"
"2023","Memphis","American Athletic","passCompletions","321"
"2023","Minnesota","Big Ten","totalYards","3912"
"2023","Connecticut","FBS Independents","rushingAttempts","394"
"2023","Charlotte","American Athletic","fourthDownConversions","19"
"2023","Memphis","American Athletic","rushingYards","1976"
"2023","LSU","SEC","puntReturns","7"
"2023","Iowa","Big Ten","netPassingYards","1661"
"2023","NC State","ACC","fumblesLost","3"
"2023","Georgia","SEC","puntReturnYards","260"
"2023","Toledo","Mid-American","totalYards","5867"
"2023","Nebraska","Big Ten","puntReturnTDs","0"
"2023","Houston","Big 12","sacks","23"
"2023","Air Force","Mountain West","passCompletions","55"
"2023","UMass","FBS Independents","passesIntercepted","8"
"2023","Boston College","ACC","passCompletions","204"
"2023","Wisconsin","Big Ten","totalYards","4957"
"2023","Tennessee","SEC","interceptions","5"
"2023","USC","Pac-12","puntReturnYards","380"
"2023","Louisiana Monroe","Sun Belt","firstDowns","190"
"2023","Rice","American Athletic","interceptionYards","98"
"2023","Kent State","Mid-American","puntReturns","14"
"2023","Vanderbilt","SEC","passCompletions","217"
"2023","Wisconsin","Big Ten","puntReturnTDs","0"
"2023","Western Michigan","Mid-American","puntReturnYards","64"
"2023","Louisiana","Sun Belt","firstDowns","265"
"2023","Tulane","American Athletic","passesIntercepted","17"
"2023","Michigan State","Big Ten","fumblesLost","9"
"2023","UMass","FBS Independents","kickReturns","41"
"2023","Purdue","Big Ten","interceptions","10"
"2023","Cincinnati","Big 12","penalties","68"
"2023","Rice","American Athletic","rushingAttempts","387"
"2023","Michigan","Big Ten","tacklesForLoss","84"
"2023","Northern Illinois","Mid-American","penalties","58"
"2023","Colorado","Pac-12","puntReturnYards","176"
"2023","Penn State","Big Ten","interceptionTDs","1"
"2023","Ball State","Mid-American","fourthDowns","18"
"2023","Oregon","Pac-12","thirdDownConversions","79"
"2023","Washington","Pac-12","firstDowns","345"
"2023","Buffalo","Mid-American","passCompletions","212"
"2023","Washington State","Pac-12","kickReturnTDs","1"
"2023","New Mexico","Mountain West","tacklesForLoss","47"
"2023","Kent State","Mid-American","fumblesRecovered","3"
"2023","Air Force","Mountain West","passesIntercepted","10"
"2023","Middle Tennessee","Conference USA","puntReturnTDs","0"
"2023","Temple","American Athletic","passCompletions","283"
"2023","Utah State","Mountain West","passingTDs","35"
"2023","James Madison","Sun Belt","tacklesForLoss","115"
"2023","Kansas State","Big 12","penalties","63"
"2023","Middle Tennessee","Conference USA","passCompletions","295"
"2023","New Mexico State","Conference USA","possessionTime","28330"
"2023","Miami","ACC","sacks","34"
"2023","UCF","Big 12","puntReturnYards","156"
"2023","Marshall","Sun Belt","kickReturns","33"
"2023","Washington State","Pac-12","fumblesLost","12"
"2023","UAB","American Athletic","interceptions","13"
"2023","Western Kentucky","Conference USA","puntReturnTDs","0"
"2023","Army","FBS Independents","fourthDowns","34"
"2023","Utah State","Mountain West","interceptionTDs","3"
"2023","Air Force","Mountain West","rushingTDs","36"
"2023","UAB","American Athletic","kickReturns","31"
"2023","West Virginia","Big 12","passingTDs","18"
"2023","Northern Illinois","Mid-American","netPassingYards","2467"
"2023","Iowa","Big Ten","possessionTime","23979"
"2023","UNLV","Mountain West","passAttempts","404"
"2023","BYU","Big 12","passAttempts","396"
"2023","Washington","Pac-12","fumblesRecovered","4"
"2023","North Carolina","ACC","sacks","28"
"2023","Nevada","Mountain West","fumblesRecovered","7"
"2023","Western Kentucky","Conference USA","passAttempts","539"
"2023","Auburn","SEC","rushingTDs","22"
"2023","Tulsa","American Athletic","puntReturnTDs","0"
"2023","Alabama","SEC","fumblesRecovered","7"
"2023","Kent State","Mid-American","puntReturnYards","106"
"2023","San José State","Mountain West","fumblesLost","6"
"2023","Texas","Big 12","tacklesForLoss","79"
"2023","Washington State","Pac-12","penaltyYards","597"
"2023","Sam Houston State","Conference USA","firstDowns","219"
"2023","Fresno State","Mountain West","interceptionTDs","0"
"2023","Western Kentucky","Conference USA","rushingYards","1386"
"2023","UCF","Big 12","interceptions","11"
"2023","UCF","Big 12","fourthDowns","23"
"2023","Utah","Pac-12","penaltyYards","536"
"2023","Illinois","Big Ten","puntReturns","12"
"2023","Colorado","Pac-12","kickReturnYards","319"
"2023","Hawai'i","Mountain West","fourthDowns","31"
"2023","New Mexico","Mountain West","thirdDowns","145"
"2023","Sam Houston State","Conference USA","puntReturnTDs","0"
"2023","Stanford","Pac-12","passAttempts","427"
"2023","Purdue","Big Ten","rushingAttempts","462"
"2023","Oregon","Pac-12","passingTDs","49"
"2023","Fresno State","Mountain West","turnovers","14"
"2023","Colorado State","Mountain West","sacks","33"
"2023","Illinois","Big Ten","fourthDowns","24"
"2023","Troy","Sun Belt","fumblesRecovered","13"
"2023","Vanderbilt","SEC","kickReturnTDs","1"
"2023","Kansas State","Big 12","totalYards","5801"
"2023","Eastern Michigan","Mid-American","games","13"
"2023","Air Force","Mountain West","puntReturnYards","23"
"2023","North Texas","American Athletic","passingTDs","33"
"2023","Tulsa","American Athletic","fumblesLost","5"
"2023","Clemson","ACC","passAttempts","474"
"2023","Virginia","ACC","kickReturns","20"
"2023","Southern Mississippi","Sun Belt","interceptions","8"
"2023","South Alabama","Sun Belt","totalYards","5726"
"2023","Northwestern","Big Ten","firstDowns","218"
"2023","Miami","ACC","puntReturns","12"
"2023","Rutgers","Big Ten","rushingAttempts","517"
"2023","Arizona State","Pac-12","passCompletions","243"
"2023","Ole Miss","SEC","puntReturnYards","117"
"2023","South Florida","American Athletic","firstDowns","300"
"2023","San José State","Mountain West","puntReturns","11"
"2023","Mississippi State","SEC","interceptionTDs","0"
"2023","East Carolina","American Athletic","fourthDownConversions","9"
"2023","Louisville","ACC","games","14"
"2023","Ohio State","Big Ten","tacklesForLoss","70"
"2023","Army","FBS Independents","interceptionYards","180"
"2023","Cincinnati","Big 12","firstDowns","267"
"2023","Notre Dame","FBS Independents","interceptionTDs","2"
"2023","Charlotte","American Athletic","passAttempts","328"
"2023","Central Michigan","Mid-American","interceptionYards","26"
"2023","Vanderbilt","SEC","penaltyYards","510"
"2023","Georgia Tech","ACC","interceptionYards","167"
"2023","West Virginia","Big 12","passCompletions","178"
"2023","Syracuse","ACC","penaltyYards","801"
"2023","UNLV","Mountain West","tacklesForLoss","61"
"2023","Miami","ACC","rushingYards","2251"
"2023","Mississippi State","SEC","kickReturns","23"
"2023","Connecticut","FBS Independents","thirdDownConversions","58"
"2023","Troy","Sun Belt","fourthDowns","29"
"2023","Alabama","SEC","passAttempts","325"
"2023","Northwestern","Big Ten","penalties","69"
"2023","Washington State","Pac-12","interceptionTDs","2"
"2023","Kentucky","SEC","rushingYards","1660"
"2023","Georgia Southern","Sun Belt","passingTDs","26"
"2023","Northwestern","Big Ten","tacklesForLoss","62"
"2023","Cincinnati","Big 12","interceptions","11"
"2023","Ohio","Mid-American","tacklesForLoss","96"
"2023","Texas Tech","Big 12","penalties","70"
"2023","Louisville","ACC","interceptionYards","149"
"2023","Louisiana Tech","Conference USA","interceptionTDs","1"
"2023","Ball State","Mid-American","totalYards","3697"
"2023","Sam Houston State","Conference USA","turnovers","16"
"2023","Ball State","Mid-American","puntReturns","14"
"2023","Tulane","American Athletic","puntReturnTDs","1"
"2023","Washington State","Pac-12","fourthDownConversions","12"
"2023","Florida International","Conference USA","sacks","12"
"2023","Florida International","Conference USA","puntReturnYards","103"
"2023","Oregon State","Pac-12","interceptionYards","153"
"2023","Arizona","Pac-12","rushingYards","1816"
"2023","Eastern Michigan","Mid-American","kickReturns","35"
"2023","Jacksonville State","Conference USA","interceptionYards","249"
"2023","LSU","SEC","fourthDownConversions","6"
"2023","Air Force","Mountain West","rushingAttempts","711"
"2023","Vanderbilt","SEC","fumblesRecovered","4"
"2023","Sam Houston State","Conference USA","fumblesLost","4"
"2023","Syracuse","ACC","fumblesRecovered","13"
"2023","Army","FBS Independents","rushingYards","2505"
"2023","Oregon","Pac-12","passCompletions","397"
"2023","Notre Dame","FBS Independents","possessionTime","24019"
"2023","James Madison","Sun Belt","passingTDs","36"
"2023","Western Michigan","Mid-American","thirdDowns","179"
"2023","LSU","SEC","passAttempts","411"
"2023","Houston","Big 12","puntReturnYards","100"
"2023","Texas A&M","SEC","rushingTDs","23"
"2023","Appalachian State","Sun Belt","turnovers","22"
"2023","Utah","Pac-12","interceptionYards","82"
"2023","Navy","American Athletic","turnovers","12"
"2023","New Mexico State","Conference USA","fumblesLost","5"
"2023","Eastern Michigan","Mid-American","thirdDownConversions","63"
"2023","Kansas","Big 12","puntReturnYards","119"
"2023","Missouri","SEC","turnovers","9"
"2023","Tulane","American Athletic","possessionTime","26329"
"2023","Missouri","SEC","interceptionYards","47"
"2023","Wake Forest","ACC","totalYards","3917"
"2023","USC","Pac-12","kickReturns","30"
"2023","Utah","Pac-12","tacklesForLoss","75"
"2023","Bowling Green","Mid-American","puntReturnTDs","1"
"2023","Clemson","ACC","penalties","64"
"2023","Texas A&M","SEC","fumblesRecovered","4"
"2023","Florida State","ACC","games","14"
"2023","Tennessee","SEC","kickReturnTDs","0"
"2023","California","Pac-12","fourthDownConversions","17"
