"Season","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility"
"2021","Darel","Middleton","DL","Tennessee","West Virginia","2021-06-30T14:30:00.000Z","0.81","3","Immediate"
"2021","Devin","Aupiu","LB","Notre Dame","UCLA","2021-06-29T17:16:00.000Z","0.83","3","Immediate"
"2021","Gerald","Nathan Jr.","LB","Missouri","Southeastern Louisiana","2021-06-29T14:47:00.000Z","","3","Immediate"
"2021","Anthony","Shipton","DL","Illinois","","2021-06-29T13:51:00.000Z","","3","Immediate"
"2021","James","Frenchie","WR","Illinois","","2021-06-29T13:49:00.000Z","","3","Immediate"
"2021","Ray","Thornton","OLB","LSU","Texas","2021-01-12T00:00:00.000Z","0.84","3","TBD"
"2021","Blaise","Sparks","OT","Illinois","Delaware","2021-06-29T13:49:00.000Z","","3","Immediate"
"2021","Anthony","Fieldings","CB","Georgia Southern","","2021-06-29T10:54:00.000Z","","3","Immediate"
"2021","Tre'von","Riggins","DL","Illinois","","2021-06-29T10:13:00.000Z","","3","Immediate"
"2021","Kyron","Cumby","RB","Illinois","Texas Tech","2021-06-29T09:03:00.000Z","","3","Immediate"
"2021","Brevyn","Jones","OT","Illinois","Jacksonville State","2021-06-28T20:54:00.000Z","","3","Immediate"
"2021","Seleti","Fevaleaki","DL","BYU","","2021-06-28T16:53:00.000Z","","","Immediate"
"2021","David","Vincent-Okoli","CB","West Virginia","","2021-06-28T13:07:00.000Z","","4","Immediate"
"2021","Kelvin","Stokes","EDGE","Purdue","","2021-06-28T12:43:00.000Z","","3","Immediate"
"2021","Hunter","Smith","LB","Louisiana Monroe","","2021-06-28T08:21:00.000Z","","2","Immediate"
"2021","Chancellor","Hitchens","S","Louisiana Monroe","","2021-06-28T08:20:00.000Z","","2","Immediate"
"2021","Damir","Faison","EDGE","East Carolina","Kent State","2021-06-28T08:20:00.000Z","","3","Immediate"
"2021","Jalen","Hamler","QB","Cal Poly","San José State","2021-06-28T00:00:00.000Z","","","Immediate"
"2021","Greg","Emerson","DL","Tennessee","Memphis","2021-06-26T08:55:00.000Z","0.81","3","Immediate"
"2021","Jalen","Neal","CB","Boise State","Boise State","2021-06-25T19:03:00.000Z","","","Immediate"
"2021","Kevric","Wiggins","CB","Louisiana Monroe","Jackson State","2021-06-25T16:19:00.000Z","","3","Immediate"
"2021","Demetri","Jordan","IOL","SMU","","2021-06-25T16:07:00.000Z","","3","Immediate"
"2021","Jeff","Miller","IOL","Georgia State","","2021-06-24T16:02:00.000Z","","3","Immediate"
"2021","Brylan","Lanier","CB","Georgia State","Alabama","2021-06-23T17:26:00.000Z","","3","Immediate"
"2021","David","Anderton","OT","South Florida","","2021-06-23T16:12:00.000Z","","3","Immediate"
"2021","Malachi","Wideman","WR","Tennessee","Jackson State","2021-06-23T13:15:00.000Z","","4","TBD"
"2021","Ahmad","Johnson","LB","Louisiana","","2021-06-23T11:39:00.000Z","","3","Immediate"
"2021","Armonie","Brown","DL","UTEP","","2021-06-23T09:56:00.000Z","","3","Immediate"
"2021","Jack","Luckhurst","K","Arizona State","","2021-06-23T09:53:00.000Z","","","Immediate"
"2021","Brayden","Fox","WR","Rutgers","Toledo","2021-06-22T16:10:00.000Z","","3","Immediate"
"2021","Blake","Kirshner","QB","UCLA","","2021-06-22T13:44:00.000Z","","2","Immediate"
"2021","Wilson","Frederic","DL","UMass","","2021-06-21T09:00:00.000Z","","2","Immediate"
"2021","Denzel","Blackwell","CB","Boston College","","2021-06-21T08:58:00.000Z","","3","Immediate"
"2021","Keyon","Mozee","RB","Kansas State","Miami (OH)","2021-06-17T16:51:00.000Z","","3","Immediate"
"2021","Luke","McAllister","QB","Colorado State","","2021-06-17T13:05:00.000Z","","3","Immediate"
"2021","Malik","Barrow","DL","Rutgers","Rutgers","2021-06-17T09:12:00.000Z","","4","Immediate"
"2021","Louis","Taylor","S","Liberty","","2021-06-16T14:05:00.000Z","","2","Immediate"
"2021","Ryan","Kelley","QB","Arizona State","Eastern Washington","2021-06-16T13:13:00.000Z","","3","Immediate"
"2021","CJ","Parks","WR","Eastern Michigan","","2021-06-16T00:00:00.000Z","","3","Immediate"
"2021","Mike","York","TE","UAB","","2021-06-16T00:00:00.000Z","","1","Immediate"
"2021","Nigel","Knott","CB","East Carolina","Ole Miss","2020-12-12T00:00:00.000Z","","4","TBD"
"2021","Antonio","Greer","DL","Navy","","2021-06-15T00:00:00.000Z","","","Immediate"
"2021","Cameron","Threatt","CB","Mississippi State","","2021-06-15T00:00:00.000Z","","3","Immediate"
"2021","Derrion","Clark","LB","Arizona","","2021-06-15T00:00:00.000Z","","3","Immediate"
"2021","Trevor","Willard","EDGE","Appalachian State","Winston-Salem State","2021-06-14T00:00:00.000Z","","3","Immediate"
"2021","Ross","Bowers","QB","Northern Illinois","","2021-06-11T00:00:00.000Z","","3","Immediate"
"2021","Lorenzo","Burkes","RB","San José State","","2021-06-11T00:00:00.000Z","","2","Immediate"
"2021","David","Alston","LB","Nebraska","","2021-06-11T00:00:00.000Z","","3","Immediate"
"2021","Robert","Cooper","DL","Boise State","Eastern Washington","2021-06-10T00:00:00.000Z","","3","Immediate"
"2021","Tairiq","Stewart","IOL","West Virginia","","2021-06-10T00:00:00.000Z","","3","Immediate"
"2021","Caleb","Roberson","CB","Wyoming","","2021-06-10T00:00:00.000Z","","3","Immediate"
"2021","Freddie","Hartz","DL","Southern Mississippi","","2021-06-10T00:00:00.000Z","","3","Immediate"
"2021","Max","Saylor","DL","Central Michigan","","2021-06-09T00:00:00.000Z","","2","Immediate"
"2021","Jay","Brunelle","WR","Notre Dame","","2021-06-09T00:00:00.000Z","","3","Immediate"
"2021","Chris","Mills","CB","Missouri","Texas State","2021-06-09T00:00:00.000Z","","3","Immediate"
"2021","Desean","Boyd","LB","Eastern Michigan","","2021-06-09T00:00:00.000Z","","2","Immediate"
"2021","Jamire","Calvin","WR","Washington State","Mississippi State","2021-06-08T00:10:00.000Z","","4","Immediate"
"2021","Jamel","Starks","CB","Louisville","","2021-06-07T00:00:00.000Z","","3","Immediate"
"2021","Brian","Thomas","OT","Memphis","","2021-06-07T00:00:00.000Z","","3","Immediate"
"2021","Davion","Tyson","LB","Ball State","","2021-06-07T00:00:00.000Z","","2","Immediate"
"2021","Sam","Noyer","QB","Colorado","Oregon State","2021-06-07T00:00:00.000Z","","3","Immediate"
"2021","Kyle","Edwards","RB","Alabama","","2021-06-05T00:00:00.000Z","","3","Immediate"
"2021","Jalen","Knox","WR","Missouri","","2021-06-04T00:00:00.000Z","","3","Immediate"
"2021","Chace","Davis","DL","Nevada","","2021-06-03T00:00:00.000Z","","3","Immediate"
"2021","Lovie","Jenkins","S","Louisville","","2021-06-03T00:00:00.000Z","","3","Immediate"
"2021","Tate","Haynes","CB","Boston College","","2021-06-03T00:00:00.000Z","","3","Immediate"
"2021","Ronnie","Blackmon","WR","Toledo","","2021-06-02T00:00:00.000Z","","3","Immediate"
"2021","Rodney","Thompson","QB","Northern Illinois","","2021-06-02T00:00:00.000Z","","2","Immediate"
"2021","Cornell","Wheeler","LB","Michigan","Kansas","2021-06-02T00:00:00.000Z","","3","Immediate"
"2021","Will","Koch","QB","UMass","","2021-06-02T00:00:00.000Z","","3","Immediate"
"2021","Mark","Williams","CB","Eastern Illinois","Louisiana Monroe","2021-06-01T00:00:00.000Z","","2","Immediate"
"2021","Karch","Gardiner","WR","Arkansas","","2021-06-01T00:00:00.000Z","","2","Immediate"
"2021","Isaiah","Bowser","RB","Northwestern","UCF","2021-06-01T00:00:00.000Z","","3","Immediate"
"2021","Prince","Sammons","OT","Auburn","","2021-06-01T00:00:00.000Z","","4","Immediate"
"2021","Ryan","Glover","QB","Pennsylvania","Western Carolina","2020-11-23T00:00:00.000Z","","3","TBD"
"2021","Terence","Dunlap","RB","Troy","Southern","2021-05-31T00:00:00.000Z","","2","Immediate"
"2021","Tijaun","Mason","EDGE","Rutgers","","2021-05-31T00:00:00.000Z","","3","Immediate"
"2021","Kenney","Solomon","WR","Tennessee","Tulsa","2021-05-30T00:00:00.000Z","","3","Immediate"
"2021","Shawn","Steele","S","Arkansas-Pine Bluff","South Alabama","2021-05-28T10:13:00.000Z","","","Immediate"
"2021","Broc","Thompson","WR","Marshall","Purdue","2021-05-28T00:00:00.000Z","","2","Immediate"
"2021","Keyshawn","Greene","LB","Nebraska","Florida Atlantic","2020-09-04T00:00:00.000Z","","4","TBD"
"2021","Chad","Brown","S","UCF","Nevada","2021-05-27T00:00:00.000Z","","3","Immediate"
"2021","Brian","Merritt","DL","Houston","","2021-05-27T00:00:00.000Z","","3","Immediate"
"2021","Damon","Matthews","CB","Arizona State","","2021-05-27T00:00:00.000Z","","","Immediate"
"2021","Shan","Sachdeva","EDGE","New Mexico","","2021-05-27T00:00:00.000Z","","2","Immediate"
"2021","Gerrik","Vollmer","OT","Virginia","","2021-05-27T00:00:00.000Z","","3","Immediate"
"2021","Ridge","Texada","CB","McNeese","North Texas","2021-05-26T00:00:00.000Z","","2","Immediate"
"2021","Levi","Forrest","P","Penn State","","2021-05-26T00:00:00.000Z","","2","TBD"
"2021","John","Mitchell","DL","Akron","","2021-05-26T00:00:00.000Z","","2","TBD"
"2021","Nick","Malito","WR","Louisville","","2021-05-26T00:00:00.000Z","","3","Immediate"
"2021","Evan","Bennett","DL","Oregon State","Fresno State","2021-05-26T00:00:00.000Z","","3","Immediate"
"2021","Artie","Henry III","WR","Marshall","Virginia","2021-05-26T00:00:00.000Z","","3","TBD"
"2021","Dante","Johnson","DL","NC State","Eastern Kentucky","2021-05-26T00:00:00.000Z","","3","TBD"
"2021","Theo","Day","QB","Michigan State","Northern Iowa","2021-05-25T00:00:00.000Z","","3","Immediate"
"2021","Kaylon","Geiger","WR","Troy","Texas Tech","2021-05-25T00:00:00.000Z","","2","TBD"
"2021","Ja'Chai","Baker","OT","Southeast Missouri State","South Alabama","2021-05-25T00:00:00.000Z","","","TBD"
"2021","Christian","Gelov","QB","TCU","Purdue","2021-05-25T00:00:00.000Z","","","TBD"
"2021","Abner","Dubar","S","Minnesota","","2021-05-25T00:00:00.000Z","","3","Immediate"
"2021","Elijah","Culp","CB","Austin Peay","Troy","2021-05-24T00:00:00.000Z","","","Immediate"
"2021","Zach","Gulley","S","Louisiana Monroe","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Brad","Kemayou","CB","Kent State","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Lolani","Langi","LB","Washington State","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Jay","Wilkerson","WR","Washington State","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Liam","Dick","OT","Pittsburgh","Texas State","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Bryce","Sebastian","CB","Boston College","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Christian","Henderson","OT","Louisiana Tech","","2021-05-24T00:00:00.000Z","","3","TBD"
"2021","Jarvis","Ware","CB","Missouri","UCF","2021-05-24T00:00:00.000Z","","3","Immediate"
"2021","Bryce","Bramscher","TE","Oregon State","","2021-05-24T00:00:00.000Z","","","TBD"
"2021","Tyrone","Hill Jr.","CB","Buffalo","Washington State","2021-05-24T00:00:00.000Z","","3","Immediate"
"2021","Caden","McCormack","LB","Nebraska","","2021-05-22T00:00:00.000Z","","","TBD"
"2021","Justin","Beadles","EDGE","Virginia Tech","Houston","2021-05-21T00:00:00.000Z","","3","TBD"
"2021","Paul","Woods","WR","Rutgers","","2021-05-21T00:00:00.000Z","","3","TBD"
"2021","Jeremiah","Hawkins","WR","California","Texas State","2020-12-29T00:00:00.000Z","","3","TBD"
"2021","Darrell","Branch","IOL","Arizona","Tennessee State","2021-05-20T00:00:00.000Z","","","TBD"
"2021","Chaz","Neal","OT","Florida State","","2021-05-20T00:00:00.000Z","","3","TBD"
"2021","John","Bledsoe","QB","Washington State","San Diego","2021-05-20T00:00:00.000Z","","2","TBD"
"2021","Marco","Domio","CB","Auburn","UCF","2021-05-19T00:00:00.000Z","","4","TBD"
"2021","Zac","Welch","IOL","Nevada","","2021-05-19T00:00:00.000Z","","3","TBD"
"2021","Steven","Faucheux","DL","Purdue","Marshall","2021-05-19T00:00:00.000Z","","3","Immediate"
"2021","Ronald","Thompkins","RB","Nebraska","","2021-05-19T00:00:00.000Z","","3","TBD"
"2021","Devin","Hightower","LB","Michigan State","Cincinnati","2021-05-18T10:32:00.000Z","","3","Immediate"
"2021","Nick","Billoups","QB","Utah","","2021-05-18T00:00:00.000Z","","3","TBD"
"2021","Gaige","Garcia","RB","Michigan","","2021-05-18T00:00:00.000Z","","3","TBD"
"2021","Jason","Romero","EDGE","East Carolina","Florida A&M","2021-05-18T00:00:00.000Z","","3","Immediate"
"2021","Ryan","Nixon","S","Tulsa","San José State","2021-05-18T00:00:00.000Z","","2","Immediate"
"2021","Shane","Simmons","DL","Penn State","Marshall","2021-05-18T00:00:00.000Z","0.82","3","Immediate"
"2021","Dylan","Jordan","LB","TCU","Northern Colorado","2021-05-17T09:44:00.000Z","","3","Immediate"
"2021","Trent","Carrington","CB","Presbyterian College","Northwestern","2021-05-17T00:00:00.000Z","","3","Immediate"
"2021","Keith","Pearson","WR","Presbyterian College","Charlotte","2021-05-17T00:00:00.000Z","","","Immediate"
"2021","Qwynnterrio","Cole","CB","Alcorn State","Louisville","2021-05-17T00:00:00.000Z","0.83","3","Immediate"
"2021","Eric","Bentley","DL","Akron","","2021-05-17T00:00:00.000Z","","2","TBD"
"2021","Michael","Jefferson","WR","Alabama State","Louisiana","2021-05-17T00:00:00.000Z","","","TBD"
"2021","Anthony","Laudicina","OT","Buffalo","","2021-05-17T00:00:00.000Z","","2","TBD"
"2021","Ronald","McGee","DL","Buffalo","Kansas","2021-05-17T00:00:00.000Z","","2","TBD"
"2021","Jawon","Hamilton","RB","James Madison","Eastern Michigan","2021-05-17T00:00:00.000Z","","3","Immediate"
"2021","Delvontae","Harris","LB","East Carolina","","2021-05-17T00:00:00.000Z","","3","Immediate"
"2021","Nikko","Pohahau","OT","Colorado","City College of San Francisco","2021-05-15T22:44:00.000Z","","","Immediate"
"2021","Michael","Ford Jr","IOL","Buffalo","Kansas","2021-05-14T00:00:00.000Z","","3","TBD"
"2021","Jimmy","Walker","DL","North Texas","","2021-05-14T00:00:00.000Z","","3","TBD"
"2021","Dashawn","Crawford","DL","Virginia Tech","Southern Mississippi","2021-05-14T00:00:00.000Z","","3","TBD"
"2021","Jamal","Brooks","ILB","Missouri","South Alabama","2021-05-14T00:00:00.000Z","","3","Immediate"
"2021","Jalen","Guerrero","OT","New Mexico State","Fresno State","2021-05-13T17:18:00.000Z","","","Immediate"
"2021","Nathaniel","Jones","RB","New Mexico","","2021-05-13T00:00:00.000Z","","3","TBD"
"2021","Chayce","Bishop","CB","Tennessee","Ball State","2021-05-13T00:00:00.000Z","","3","Immediate"
"2021","Taj","Jones","WR","UMass","","2021-05-13T00:00:00.000Z","","3","Immediate"
"2021","James","Valle","EDGE","Old Dominion","","2021-05-13T00:00:00.000Z","","2","TBD"
"2021","Luke","Foster","IOL","Presbyterian College","Temple","2021-05-12T00:00:00.000Z","","","Immediate"
"2021","Trevor","Wilson","WR","Buffalo","Kansas","2021-05-12T00:00:00.000Z","","3","TBD"
"2021","Rich","Miller","LB","Buffalo","Kansas","2021-05-12T00:00:00.000Z","","3","TBD"
"2021","Will","Gipson","WR","Pittsburgh","","2021-05-12T00:00:00.000Z","","3","TBD"
"2021","Jeffery","Johnson","DL","Tulane","","2021-05-12T00:00:00.000Z","","3","TBD"
"2021","Jamale","Carothers","RB","Navy","Western Kentucky","2021-05-11T00:00:00.000Z","","3","TBD"
"2021","Isaiah","Helms","OC","Western Carolina","Appalachian State","2021-05-11T00:00:00.000Z","","","Immediate"
"2021","Kieran","Clark","CB","Nevada","","2021-05-11T00:00:00.000Z","","2","TBD"
"2021","Jordan","Whittley","DL","Oregon State","Michigan","2021-05-11T00:00:00.000Z","","3","Immediate"
"2021","Ed","Hendrix","WR","Syracuse","","2021-05-11T00:00:00.000Z","","3","TBD"
"2021","Jordan","Cole","LB","Northern Illinois","","2021-05-11T00:00:00.000Z","","2","Immediate"
"2021","Nick","Fulwider","DL","Arkansas","Texas State","2021-05-11T00:00:00.000Z","","3","TBD"
"2021","Jacob","Long","CB","West Virginia","","2021-05-11T00:00:00.000Z","","3","TBD"
"2021","Sean-Thomas","Faulkner","LB","The Citadel","North Texas","2021-05-10T00:00:00.000Z","","","Immediate"
"2021","Daviyon","McDaniel","IOL","Charleston Southern","UNLV","2021-05-10T00:00:00.000Z","","","Immediate"
"2021","TyQaze","Leggs","IOL","Austin Peay","Marshall","2021-05-10T00:00:00.000Z","","3","Immediate"
"2021","Nolan","Quinlan","TE","Wagner","Louisiana Monroe","2021-05-10T00:00:00.000Z","","","Immediate"
"2021","Donte","Small","CB","Morgan State","Appalachian State","2021-05-10T00:00:00.000Z","","","TBD"
"2021","Micaleous","Elder","WR","Charlotte","","2021-05-10T00:00:00.000Z","","3","TBD"
"2021","Jayvon","Thrift","S","West Virginia","Youngstown State","2021-05-10T00:00:00.000Z","","3","Immediate"
"2021","John","Ransom III","WR","Virginia Tech","","2021-05-10T00:00:00.000Z","","","TBD"
"2021","Jaylen","Gipson","QB","Texas State","North Alabama","2021-05-10T00:00:00.000Z","","3","Immediate"
"2021","Carlos","Davis","RB","South Alabama","","2021-05-10T00:00:00.000Z","","3","TBD"
"2021","WyDale","Flott","CB","Southern Mississippi","","2021-05-10T00:00:00.000Z","","3","TBD"
"2021","Royal","Silver","DL","Minnesota","","2021-05-10T00:00:00.000Z","","3","TBD"
"2021","Joseph","Dorceus","DL","Memphis","Tulane","2021-05-09T00:00:00.000Z","","","Immediate"
"2021","Brandon","Sanders","WR","Bucknell","Rutgers","2021-05-09T00:00:00.000Z","","","TBD"
"2021","Jamie","Nance","WR","Nebraska","Utah State","2021-05-09T00:00:00.000Z","","3","TBD"
"2021","Max","Wray","OT","Ohio State","Colorado","2021-05-09T00:00:00.000Z","","4","Immediate"
"2021","Levar","Gumms","WR","Northwestern State","Central Michigan","2021-05-08T00:00:00.000Z","","2","Immediate"
"2021","Demariyon","Houston","WR","Nebraska","","2021-05-08T00:00:00.000Z","","3","TBD"
"2021","Dewayne","Betts","S","South Alabama","","2021-05-07T00:00:00.000Z","","3","TBD"
"2021","D.J.","Oats","RB","Colorado","","2021-05-07T00:00:00.000Z","","3","TBD"
"2021","Ke'Shun","Brown","LB","Texas A&M","South Alabama","2021-05-07T00:00:00.000Z","","4","Immediate"
"2021","Josh","Calvert","ILB","Washington","Utah","2021-05-07T00:00:00.000Z","","4","TBD"
"2021","Cory","Gross","S","Buffalo","Buffalo","2021-05-07T00:00:00.000Z","","3","TBD"
"2021","Trad","Beatty","QB","Temple","Georgia Tech","2021-05-07T00:00:00.000Z","","3","Immediate"
"2021","Joshua","Fields","RB","UTEP","","2021-05-07T00:00:00.000Z","","3","SittingOne"
"2021","Paul","Theobald","LB","Boston College","Albany","2021-05-07T00:00:00.000Z","","3","Immediate"
"2021","Robert","Burns","RB","Miami","Connecticut","2021-05-07T00:00:00.000Z","","3","Immediate"
"2021","Steve","Ballard","OT","Louisiana Tech","Northwestern State","2021-05-06T00:00:00.000Z","","3","TBD"
"2021","Kamal","Hadden","CB","Auburn","Tennessee","2021-05-06T00:00:00.000Z","","3","Immediate"
"2021","Colt","Minson","QB","Charlotte","","2021-05-06T00:00:00.000Z","","2","TBD"
"2021","Tyree","Saunders","WR","Virginia Tech","East Carolina","2021-05-06T00:00:00.000Z","","3","Immediate"
"2021","Tommy","Guajardo","TE","Michigan State","Bowling Green","2021-05-06T00:00:00.000Z","","","TBD"
"2021","Trey","Price","OT","Nevada","","2021-05-06T00:00:00.000Z","","3","TBD"
"2021","Quintavius","Workman","WR","UTEP","","2021-05-06T00:00:00.000Z","","2","TBD"
"2021","Jake","Karchinski","DL","Iowa","","2021-05-06T00:00:00.000Z","","3","TBD"
"2021","Matt","Myers","QB","Buffalo","Buffalo","2021-05-06T00:00:00.000Z","","2","TBD"
"2021","Nick","Lewis","OT","Kentucky","Arkansas State","2021-05-06T00:00:00.000Z","","3","TBD"
"2021","Dillan","Gibbons","IOL","Notre Dame","Florida State","2021-05-06T00:00:00.000Z","","3","Immediate"
"2021","Jalan","Early","EDGE","Fresno State","","2021-05-05T00:00:00.000Z","","3","TBD"
"2021","Tyrece","Woods","LB","Buffalo","","2021-05-05T00:00:00.000Z","","3","TBD"
"2021","Jaylen","Davis","RB","Houston","","2021-05-05T00:00:00.000Z","","","TBD"
"2021","Da'Jon","Terry","DL","Kansas","Tennessee","2021-05-05T00:00:00.000Z","","3","Immediate"
"2021","Lucas","Bacon","WR","Washington State","","2021-05-05T00:00:00.000Z","","","TBD"
"2021","Eddie","Wilson","DL","Buffalo","Kansas","2021-05-05T00:00:00.000Z","","3","TBD"
"2021","Jae'vien","Gill","DL","UCF","Mississippi Gulf Coast C.C.","2021-05-04T10:56:00.000Z","","3","Immediate"
"2021","Tawfiq","Smalley","CB","Robert Morris","","2021-05-04T00:00:00.000Z","","","Immediate"
"2021","Kevin","Pointer","DL","Louisiana Monroe","Wake Forest","2021-05-04T00:00:00.000Z","","3","TBD"
"2021","Jordan","Nichols","S","North Texas","","2021-05-04T00:00:00.000Z","","3","TBD"
"2021","Kennedy","Lewis","WR","Texas","UT San Antonio","2021-05-04T00:00:00.000Z","","3","Immediate"
"2021","Suddin","Sapien","QB","UT San Antonio","Texas-Permian Basin","2021-05-04T00:00:00.000Z","","3","TBD"
"2021","Nick","Walker","CB","Illinois","","2021-05-04T00:00:00.000Z","","3","TBD"
"2021","Tre","Webb","CB","San José State","Montana State","2021-05-04T00:00:00.000Z","","3","Immediate"
"2021","Travon","Fuller","CB","Texas A&M","","2021-05-04T00:00:00.000Z","","4","TBD"
"2021","Malik","Mustapha","CB","Richmond","Wake Forest","2021-05-03T00:00:00.000Z","","","Immediate"
"2021","Reggie","Stubblefield","S","Prairie View","Kansas State","2021-05-03T00:00:00.000Z","","2","Immediate"
"2021","Jeremiah","Josephs","CB","Miami (OH)","","2021-05-03T00:00:00.000Z","","2","TBD"
"2021","Jay","Hardy","DL","Auburn","","2021-05-03T00:00:00.000Z","","4","TBD"
"2021","Chayil","Garnett","QB","Auburn","Tennessee State","2021-05-03T00:00:00.000Z","","3","Immediate"
"2021","Justin","Stevens","OT","Michigan State","South Alabama","2021-05-03T00:00:00.000Z","","3","Immediate"
"2021","Tony","Fair","DL","UAB","Auburn","2021-05-03T00:00:00.000Z","","3","Immediate"
"2021","Valerian","Agbaw","ATH","Kansas","Charlotte","2021-05-03T00:00:00.000Z","","3","TBD"
"2021","Welton","Spottsville","S","North Carolina","Kennesaw State","2021-05-03T00:00:00.000Z","","3","TBD"
"2021","Valentin","Senn","OT","Colorado","Connecticut","2021-05-03T00:00:00.000Z","","3","Immediate"
"2021","Ben","McNaboe","LB","Minnesota","","2021-05-03T00:00:00.000Z","","","TBD"
"2021","Keonte","Schad","DL","Minnesota","Oregon State","2021-05-03T00:00:00.000Z","","3","TBD"
"2021","Douglas","Gearity","IOL","Southern Mississippi","","2021-05-03T00:00:00.000Z","","","TBD"
"2021","Terry","Keys III","CB","SMU","","2021-05-03T00:00:00.000Z","","2","TBD"
"2021","Colby","Campbell","ILB","Presbyterian College","Duke","2021-05-01T00:00:00.000Z","","","Immediate"
"2021","Oly","Okombi","DL","Kent State","Towson","2021-05-01T00:00:00.000Z","","2","Immediate"
"2021","Christopher","Fournier","IOL","Lehigh","Louisiana Tech","2021-05-01T00:00:00.000Z","","","Immediate"
"2021","Jack","Martin","P","Troy","Alabama","2021-05-01T00:00:00.000Z","","2","TBD"
"2021","Robert","Holmes","IOL","Austin Peay","Arkansas State","2021-05-01T00:00:00.000Z","","3","TBD"
"2021","DJ","Travis","CB","Louisiana Monroe","Alcorn State","2021-04-30T11:17:00.000Z","","3","Immediate"
"2021","Isaac","Washington","DL","Tennessee","Butler C.C.","2021-04-30T00:00:00.000Z","","","TBD"
"2021","Luc","Bequette","DL","Boston College","","2021-04-30T00:00:00.000Z","","3","Immediate"
"2021","Malik","Reed","LB","Wisconsin","Arizona","2021-04-30T00:00:00.000Z","","3","TBD"
"2021","Martavius","French","LB","Tennessee","Hutchinson C.C.","2021-04-30T00:00:00.000Z","","","TBD"
"2021","Jaren","Handy","SDE","Auburn","Indiana","2021-04-30T00:00:00.000Z","","4","TBD"
"2021","Geor'quarius","Spivey","TE","Mississippi State","TCU","2021-04-30T00:00:00.000Z","","3","Immediate"
"2021","Randy","Fields","WR","West Virginia","","2021-04-30T00:00:00.000Z","","3","TBD"
"2021","Terius","Wheatley","RB","Virginia Tech","","2021-04-30T00:00:00.000Z","","3","Immediate"
"2021","John","Williams","WR","Memphis","","2021-04-30T00:00:00.000Z","","3","Immediate"
