"Year","TeamId","Team","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties"
"2023","166","New Mexico State","Conference USA","","10.3","15","10","5","0","9","7","2","0","6","5","1","0","8","5","3","0"
"2023","167","New Mexico","Mountain West","Mountain","4.5","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2023","183","Syracuse","ACC","Atlantic","6.1","13","6","7","0","8","2","6","0","6","4","2","0","5","1","4","0"
"2023","189","Bowling Green","Mid-American","East","6.8","13","7","6","0","8","5","3","0","5","3","2","0","7","4","3","0"
"2023","193","Miami (OH)","Mid-American","East","9","14","11","3","0","9","8","1","0","5","4","1","0","7","6","1","0"
"2023","194","Ohio State","Big Ten","East","10.1","13","11","2","0","9","8","1","0","6","6","0","0","6","5","1","0"
"2023","195","Ohio","Mid-American","East","9.2","13","10","3","0","8","6","2","0","6","5","1","0","6","4","2","0"
"2023","197","Oklahoma State","Big 12","","5.8","14","10","4","0","10","7","3","0","7","6","1","0","5","3","2","0"
"2023","201","Oklahoma","Big 12","","10.9","13","10","3","0","9","7","2","0","6","6","0","0","5","3","2","0"
"2023","202","Tulsa","American Athletic","","5.4","12","4","8","0","8","2","6","0","6","2","4","0","6","2","4","0"
"2023","204","Oregon State","Pac-12","","9.3","13","8","5","0","9","5","4","0","6","5","1","0","6","3","3","0"
"2023","213","Penn State","Big Ten","East","9.1","13","10","3","0","9","7","2","0","7","6","1","0","4","3","1","0"
"2023","218","Temple","American Athletic","","2.8","12","3","9","0","8","1","7","0","7","3","4","0","5","0","5","0"
"2023","221","Pittsburgh","ACC","Coastal","4.3","12","3","9","0","8","2","6","0","6","3","3","0","5","0","5","0"
"2023","228","Clemson","ACC","Atlantic","8.8","13","9","4","0","8","4","4","0","7","6","1","0","5","2","3","0"
"2023","235","Memphis","American Athletic","","7.8","13","10","3","0","8","6","2","0","6","4","2","0","6","6","0","0"
