Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
2023,4596541,Jordan Young,CB,Florida,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0,291,14,26,3,4,13,0,43,18,0,413,26,3304,416,265,9,27,104,918,23790,0,176,25,495,26,2714,36,81,72,174,6018,21,,No
2023,4596608,Chance Luper,WR,Missouri,Big Ten,0.0349,0.0651,0.0025,0.0276,0.047,0.029,0.038,0.041,1.0,,1.0,0.0,,,,0.0,,54.0,,,0.0,0.0,,0.0,21.0,0.0,1.0,,1.0,0.0,1.0,,,205.0,0.0,2.0,,9.7,East,3.9,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,282,11,19,2,5,13,1,91,11,1,621,34,3036,455,301,11,19,83,770,23636,0,69,14,464,22,2342,29,83,84,190,5378,13,,No
2023,4597005,Marcus Bradley,DE,Vanderbilt,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,1.0,2.0,,,,,,,,East,0.9,12,2,10,0,8,0,8,0,7,1,6,0,5,1,4,0,211,19,30,5,3,12,0,74,14,0,324,24,2272,408,226,13,13,66,508,22239,0,45,8,423,8,1482,9,51,60,188,3754,19,,No
2023,4597500,Adonai Mitchell,WR,Georgia,Big Ten,0.052,0.1154,0.0019,0.0545,0.04,0.07,0.028,0.068,,,,,,,1.0,,,40.0,0.0,,,,,,29.0,,,,4.0,,,,,426.0,,,,14.7,East,13.9,15,14,1,0,9,8,1,0,6,6,0,0,4,4,0,0,339,8,14,5,7,15,4,265,12,0,322,17,3778,407,264,16,39,77,648,27499,1,317,33,545,29,2864,49,99,77,172,6642,17,,No
2023,4597679,Luke Altmyer,QB,Ole Miss,Big Ten,0.0569,0.1024,0.02,0.0384,0.063,0.079,0.049,0.087,37.0,,21.0,20.0,,,,2.0,,14.0,,,0.541,,,,,,,,1.0,,,,,192.0,5.2,0.0,,,West,9.0,13,10,3,0,8,6,2,0,7,7,0,0,4,2,2,0,338,31,49,5,11,13,1,100,7,0,429,22,3573,429,286,11,21,117,978,21443,0,93,8,588,33,2829,39,80,73,191,6402,12,,No
2023,4599150,Kahlil Saunders,DL,Kentucky,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,2.0,,0.0,2.0,2.0,,,,,,,,East,8.5,13,10,3,0,8,5,3,0,7,6,1,0,5,3,2,0,296,6,16,10,3,13,3,188,13,0,301,22,2933,366,242,9,24,63,548,25425,1,165,16,496,27,2594,29,79,76,151,5527,23,,No
2023,4599160,Trey Washington,S,Ole Miss,Big Ten,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,11.0,,0.0,0.5,23.0,,,,,,,,West,9.0,13,10,3,0,8,6,2,0,7,7,0,0,4,2,2,0,338,31,49,5,11,13,1,100,7,0,429,22,3573,429,286,11,21,117,978,21443,0,93,8,588,33,2829,39,80,73,191,6402,12,,No
2023,4600388,Chief Borders,LB,Florida,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0,291,14,26,3,4,13,0,43,18,0,413,26,3304,416,265,9,27,104,918,23790,0,176,25,495,26,2714,36,81,72,174,6018,21,,No
2023,4601021,Jaylon Carlies,DB,Missouri,Big Ten,,,,,,,,,,18.3,,,,,,4.0,,11.0,,2.0,,0.0,,2.0,,0.0,54.0,,0.0,3.0,67.0,,,62.0,,,,,East,3.9,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,282,11,19,2,5,13,1,91,11,1,621,34,3036,455,301,11,19,83,770,23636,0,69,14,464,22,2342,29,83,84,190,5378,13,,No
2023,4601080,Raheim Sanders,RB,Arkansas,Big Ten,0.1326,0.0352,0.1938,0.1168,0.174,0.099,0.205,0.105,,19.0,114.0,,,,2.0,,,85.0,1.0,1.0,,,,,11.0,,,,6.0,,,,,706.0,,5.1,,9.9,West,9.2,13,9,4,0,8,4,4,0,7,6,1,0,4,1,3,0,284,12,19,6,6,13,0,97,5,0,310,20,2781,314,205,13,22,103,820,23010,1,264,25,588,26,2961,24,79,64,173,5742,11,,No
