"Season","Team","Conference","StatName","StatValue"
"2022","Iowa State","Big 12","netPassingYards","3141"
"2022","Texas","Big 12","penalties","79"
"2022","Kansas","Big 12","kickReturnYards","410"
"2022","Texas Tech","Big 12","passCompletions","349"
"2022","Kansas","Big 12","penaltyYards","605"
"2022","Oklahoma State","Big 12","kickReturnYards","779"
"2022","Oklahoma","Big 12","passAttempts","407"
"2022","Kansas","Big 12","passingTDs","32"
"2022","Baylor","Big 12","possessionTime","24573"
"2022","Kansas State","Big 12","kickReturnTDs","0"
"2022","West Virginia","Big 12","passCompletions","255"
"2022","TCU","Big 12","interceptionYards","282"
"2022","Oklahoma State","Big 12","passCompletions","292"
"2022","Texas Tech","Big 12","puntReturnYards","112"
"2022","Kansas State","Big 12","passAttempts","388"
"2022","Baylor","Big 12","penalties","62"
"2022","Kansas","Big 12","sacks","24"
"2022","Kansas State","Big 12","turnovers","12"
"2022","Kansas","Big 12","fumblesLost","11"
"2022","Oklahoma State","Big 12","kickReturnTDs","1"
"2022","Oklahoma","Big 12","netPassingYards","3310"
"2022","Texas","Big 12","turnovers","14"
"2022","Texas Tech","Big 12","fourthDownConversions","34"
"2022","TCU","Big 12","fumblesLost","8"
"2022","Texas Tech","Big 12","tacklesForLoss","82"
"2022","Baylor","Big 12","turnovers","18"
"2022","Iowa State","Big 12","kickReturns","21"
"2022","Texas","Big 12","thirdDowns","165"
"2022","Texas Tech","Big 12","rushingTDs","28"
"2022","TCU","Big 12","tacklesForLoss","71"
"2022","Texas Tech","Big 12","interceptionYards","47"
"2022","Oklahoma","Big 12","puntReturnTDs","0"
"2022","Kansas State","Big 12","possessionTime","26643"
"2022","Iowa State","Big 12","rushingAttempts","394"
"2022","Oklahoma State","Big 12","rushingYards","1633"
"2022","Oklahoma State","Big 12","interceptionYards","104"
"2022","Kansas State","Big 12","fumblesRecovered","13"
"2022","Oklahoma State","Big 12","interceptionTDs","0"
"2022","West Virginia","Big 12","games","12"
"2022","West Virginia","Big 12","interceptionYards","76"
"2022","TCU","Big 12","kickReturns","46"
"2022","Oklahoma State","Big 12","tacklesForLoss","86"
"2022","Oklahoma State","Big 12","rushingTDs","20"
"2022","West Virginia","Big 12","fourthDownConversions","22"
"2022","Texas Tech","Big 12","penalties","74"
"2022","Kansas State","Big 12","games","14"
"2022","Kansas State","Big 12","fourthDowns","29"
