Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal,PositionId,TeamId,ConferenceId
2021,4038438,La'Darren Brown,RB,Oklahoma State,Big12,0.0381,0.016,0.0565,0.0435,0.041,0.025,0.03,0.039,,33.0,31.0,,,,2.0,,,127.0,1.0,4.0,,0.0,,0.0,5.0,0.0,0.0,,3.0,0.0,0.0,,,228.0,,2.7,,2.2,,10.1,14,12,2,0,10,8,2,0,7,7,0,0,5,4,1,0,331,7,13,7,12,14,1,159,13,2,608,22,3246,447,274,9,23,84,781,25941,1,68,18,620,27,2597,57,118,94,220,5843,20,,No,8,31,2
2021,4039058,Tope Imade,OL,Texas,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,,,,,,,4.6,12,5,7,0,9,3,6,0,6,4,2,0,5,1,4,0,244,9,20,7,8,12,1,91,10,0,504,28,2705,346,217,7,29,69,579,20217,0,174,17,457,25,2392,20,72,70,160,5097,17,,No,3,37,2
2021,4039061,Denzel Okafor,OL,Texas,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,2.0,,0.0,1.0,4.0,,,,,,,,,4.6,12,5,7,0,9,3,6,0,6,4,2,0,5,1,4,0,244,9,20,7,8,12,1,91,10,0,504,28,2705,346,217,7,29,69,579,20217,0,174,17,457,25,2392,20,72,70,160,5097,17,,No,3,37,2
2021,4039246,Evan Staley,PK,West Virginia,Big12,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,2.0,,,,,,,,,2.0,2.0,,,,,,,6.0,13,6,7,0,9,4,5,0,6,4,2,0,6,2,4,0,278,19,28,8,5,13,0,104,12,1,672,29,3223,447,290,9,19,67,561,24457,0,59,19,452,19,1601,27,82,74,186,4824,20,,No,11,32,2
2021,4039256,Sean Mahone,S,West Virginia,Big12,,,,,,,,,,14.5,,,,,,2.0,,,,,,2.0,,0.0,,0.5,54.0,,0.0,4.0,81.0,,,29.0,,,,,,6.0,13,6,7,0,9,4,5,0,6,4,2,0,6,2,4,0,278,19,28,8,5,13,0,104,12,1,672,29,3223,447,290,9,19,67,561,24457,0,59,19,452,19,1601,27,82,74,186,4824,20,,No,10,32,2
2021,4039930,Tyler Sumpter,PK,West Virginia,Big12,,,,,,,,,,,,,,,,,14.0,72.0,,52.0,,,,,,,,6.0,,,,,,2261.0,,,43.5,,,6.0,13,6,7,0,9,4,5,0,6,4,2,0,6,2,4,0,278,19,28,8,5,13,0,104,12,1,672,29,3223,447,290,9,19,67,561,24457,0,59,19,452,19,1601,27,82,74,186,4824,20,,No,11,32,2
2021,4040964,Ben Davis,LB,Texas,Big12,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,1.0,2.0,2.5,11.0,,0.0,4.5,16.0,,,,,,,,,4.6,12,5,7,0,9,3,6,0,6,4,2,0,5,1,4,0,244,9,20,7,8,12,1,91,10,0,504,28,2705,346,217,7,29,69,579,20217,0,174,17,457,25,2392,20,72,70,160,5097,17,,No,0,37,2
2021,4043137,Damarcus Fields,DB,Texas Tech,Big12,,,,,,,,,,,,,,,0.0,,,,0.0,,,11.0,,0.0,1.0,0.0,40.0,,0.0,4.0,48.0,,,,,,,,,6.0,13,7,6,0,9,3,6,0,6,3,3,0,5,2,3,0,254,14,29,9,5,13,2,28,11,0,368,20,3344,388,245,10,18,68,580,21820,0,148,22,436,30,2068,20,61,67,157,5412,20,,No,6,28,2
2021,4045701,Timmy Horne,DT,Kansas State,Big12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,2.0,18.0,,0.0,3.0,20.0,,,,,,,,,7.4,13,8,5,0,9,4,5,0,7,4,3,0,4,2,2,0,233,15,20,7,4,13,0,108,7,2,735,27,2599,311,204,11,14,71,595,23324,1,102,12,436,29,2111,30,90,64,146,4710,14,,No,14,29,2
2021,4046586,Nick Lenners,TE,Kansas State,Big12,0.0054,0.0122,0.0,0.006,0.004,0.007,0.005,0.004,,,,,,,1.0,,,10.0,1.0,,,,,,3.0,,,,0.0,,,,,22.0,,,,7.3,,7.4,13,8,5,0,9,4,5,0,7,4,3,0,4,2,2,0,233,15,20,7,4,13,0,108,7,2,735,27,2599,311,204,11,14,71,595,23324,1,102,12,436,29,2111,30,90,64,146,4710,14,,No,4,29,2
